标题,昵称,地区,评论内容
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,LemonSquid_不困啦,未知,前几天去试了，买的就是ak推荐的小号眼镜和2号手环
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,23083437576_bili,未知,想听AK聊聊夸克ai眼镜
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,楼上有逍哥,未知,display 最有优势的体验果然还是肌电手环
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,绯红晨星,未知,我最大的刚需是提词器功能，但是国内现有的所有AI眼镜因为漏光的原因，导致提词器变成大家都能看的笑话。Display漏光问题解决的非常好，那么他能做到提词器的功能吗？
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,诸神荧惑,未知,Rayban一代爱出汗的人，如果带着做运动，就很容易坏，gen2不知道有没有改善
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,Ktondy,未知,什么时候能支持中文[大哭]
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,衰仔诺,未知,"没想到关掉Hey Meta监测能提升这么多续航（Ray-Ban Meta音频播放2.5h->4h），好奇Meta眼镜的音量自适应调节和对话识别是Always on的还是只在播放音频时才工作，不会也在录吧[笑哭]

看的时候一直好奇AK穿的浴袍/睡衣还是啥潮服，片尾意外得到答案，是汉服[喜极而泣]"
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,电波猫Denpacat,未知,关于税费的问题，有个有意思的点，如果你在官方加了prescription片，它会直接给你免税，因为prescription产品属于医疗用品，法律上是要求免税的，我买的时候都震惊了，最终结账999刀，普通版加税都快800[笑哭]
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,玄武WK,未知,"再次给UP主冲个电  
我其实对AR VR 兴趣不大  但喜欢看各类点评
AK点评的很专业  能从重学到很多知识   而且也让我关注到些投资机会
有次AK 提到过 一句 JBD 是个非常厉害的企业  我就查了下 JBD还没有上市  但有投资JBD的大股东 上市了 最近也因为JBD 筹划上市的消息 而涨幅100%
特此 感谢"
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,马克Musician,未知,能看pdf吗？就是弹钢琴的时候看谱子用[微笑]
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,某某的皇叔,未知,好奇肌电手环带脚脖子上会怎么样[doge][doge]
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,现在或者将来会是,未知,透明款还能看到胶水粘贴痕迹[笑哭]只能说不能细看，总体还是很帅的
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,快门特效法师,未知,看来目前这个眼镜的溢价，还是去买个二手vp更爽
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,Bilibil_Calvin,未知,打算买普通款的墨镜，没戴过眼镜，他这个偏光石墨有什么特别的吗？还是变色那款比较好？
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,_AESX_,未知,不再预测一下苹果未来ai眼镜的规划吗？感觉iPhone17上那颗新的前置摄像头太适合做眼镜的摄像头了
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,Mr_Goal2000,未知,"●突然想到，智能眼镜未来发展的一个可能定位/优势，相对于现在人们手机上的社交app逐渐沦为平台算法下的定向观众，那么现在以及未来会有越来越多的人更关心自己的现实生活，重新从互联网社交需求重回到现实社交，对很多人来说却并不容易，而如果这部分人人手一个ai眼镜作为面对面社交的助手，可能会帮助他们生活工作甚至提升个人安全意识。
●比如眼镜摄像头在人群中自动实时调用（ai端在手机辅助，眼镜端只负责视频画面无线传输功能），ai识别到有人对你打招呼，可以提醒你回应，
●如果是陌生人也能分析，他盯着你看了多久，做了什么表情，帮助你对该陌生人对你的意图真实性做一个判断，
●对熟人聊天，遇到你不太懂的话题，也能帮你找到合适的角度去辅助你接住话题，继续热聊，加深朋友之间的联系。
○借助眼镜的摄像头ai功能，深度整合达到主动干预人行为的ai agnet 功能，甚至可以开发类似于微信摇一摇的功能去搭讪，比如同型号眼镜能自动配对进行短暂信息交流，看到想搭讪对象却不敢要微信，但可以通过眼镜进行无声的交流，开拓自己的社交圈子，别人还在撸串，你这里已经决定好十分钟之后去哪了。"
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,遙遠之夢,未知,没有别的意思，纯好奇，厂商做不了大电源的问题凭什么转嫁到消费者身上，买两副眼镜成了最优解，成本又贵还得带两副眼镜，难道就不能优化耗电做大电源吗？
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,_碧水蓝天,未知,有点期待今年要发的夸克ai眼镜，国产感觉阿里这种大厂出品应该会比较靠谱。
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,林家恩,未知,AK老师 想知道，meta rayban display这个充电电压是多少？ 能不能边充边使用，就是可以通过自己diy超薄排线，然后用绿油固化（黑色也行）最后把一个超小的充电宝吸在镜腿上，来实现增强续航。
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,大飞,未知,"meta这个除了是彩色而非纯绿，然后多了个臂环，其余跟Rokid Glasses也没啥区别啊。都是带小窗的AI辅助眼镜，怎么贵了那么多……

Rokid才2000多，这个要800美元合人民币快6000了"
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,楼上有逍哥,未知,大家觉得透明限定款好看吗，我觉得 gen1 的高透比 gen2 的磨砂透好看，但我又想要 gen2 的续航，难受了
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,彼音星垠,未知,"戴了一年 M 款（当时我买的那个渠道没得选尺寸），我现在感觉就是一直很夹头[笑哭]我自己平时戴的眼镜都是比较宽的，出去玩 VR 大空间我都要另外戴一副小眼镜（夹头）不然套不进 VR 设备的那种
现在就是希望国产做好起来，Meta 眼镜再好不支持中文交互还是很不方便。我自己其实也经常去英文社区看东西，但是口语和听力不行"
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,梦河雨夜,未知,最近十个视频有八个都是智能眼睛[哈欠]
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,周旋久矣,未知,1:01:36 ak看看我的问题 鼻托老翘边怎么处理[笑哭]
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,挖坑的章鱼,未知,手上的是智能戒指吗？有推荐的型号吗？
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,特盛豚丼,未知,有办法批量删除Display本体里面的照片吗？这眼镜把照片导进手机之后，照片还在眼镜的相册里
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,果果0227,未知,感谢ak的分享！真的很好用关掉heymeta，正常使用了七个半小时还有50%的电（听歌一小时左右，看视频半小时，音量听歌是开最大，视频开了一半，剩下就是接接电话还有消息通知）
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,Everyday_One_Cat,未知,vision pro更新了，会出一集嘛
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,Adrian1111117,未知,补个信息，我使用的三星接的meta gen2，目前没有碰到过蓝牙断开的情况。可能有苹果生态的问题。
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,面包超人Forrest,未知,计划买meta display，今天看到阿里也发售AI眼镜了，AK有空会做一期评测么
Meta智能眼镜选购 避坑指南 解锁Meta AI 尺寸选择 配件推荐 使用技巧+大家关心的问题答疑,txa111223,未知,卧槽怎么感觉AK瘦了帅了呢
